                  id                  |   country   |        state        |            county             |            city            | longitude | latitude |              parent_id               
 69dba95d-26d1-4b35-8a9d-9446c8ce70d0 | Deutschland | Niedersachsen       | Landkreis Cloppenburg         | Friesoythe                 |     7.859 |   53.021 | 6660f9f8-9d22-4ba7-84a0-fb3005912fdf
 651570f2-242e-4c65-9cb8-4fc38ce69cc9 | Deutschland | Niedersachsen       | Landkreis Nienburg/Weser      | Uchte                      |     8.907 |   52.499 | 65f86ce7-e5df-4baf-b7e5-daed50573586
 9c2609db-0711-45de-962f-328e4cee5494 | Deutschland | Niedersachsen       | Landkreis Diepholz            | Drentwede                  |     8.562 |   52.737 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 a40c0c5c-2755-47fa-84e4-c0e6b0bf5a31 | Deutschland | Niedersachsen       | Landkreis Nienburg/Weser      | Stolzenau                  |     9.077 |   52.510 | 65f86ce7-e5df-4baf-b7e5-daed50573586
 cfe5f05f-aaa4-47b9-9914-bd44a8fba5f8 | Deutschland | Nordrhein-Westfalen | Kreis Gütersloh               |                            |     8.381 |   51.904 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 28b9b35b-e39d-4bb8-a731-fca2401a4183 | Deutschland | Nordrhein-Westfalen | Kreis Gütersloh               | Gütersloh                  |     8.405 |   51.916 | cfe5f05f-aaa4-47b9-9914-bd44a8fba5f8
 d5762674-cdbd-4503-ab9c-210e507c2953 | Deutschland | Niedersachsen       | Landkreis Leer                | Bunde                      |     7.265 |   53.216 | 99342aef-ee4f-4cfc-a01a-e6d2e9b4e4a9
 eca57e79-f015-45df-8cbf-f0221cf46fc9 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Beckum                     |     8.041 |   51.756 | b91b5153-cbe5-4db5-bea1-8304731120e1
 2e6b01b4-a761-4e0e-8161-e1e3bab737ee | Deutschland | Niedersachsen       | Landkreis Vechta              |                            |     8.172 |   52.657 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 1585ee36-d40f-46ee-bafc-86bef324222a | Deutschland | Niedersachsen       | Landkreis Vechta              | Steinfeld                  |     8.217 |   52.587 | 2e6b01b4-a761-4e0e-8161-e1e3bab737ee
 df0da25a-d8c8-4727-88e9-464fc854583a | Deutschland | Niedersachsen       | Landkreis Diepholz            | Diepholz                   |     8.373 |   52.611 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 f2106ece-3ad9-4700-b54d-942eba4d5ba2 | Deutschland | Niedersachsen       | Osnabrück                     |                            |     8.048 |   52.272 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 a272e567-90b1-4db7-bc6e-57f53842c6a3 | Deutschland | Niedersachsen       | Landkreis Oldenburg           | Wildeshausen               |     8.436 |   52.897 | 3453dce8-d1a8-4057-bd6d-db872889eebf
 a0b2ef54-44af-4e08-a257-c8f0aa5ad05d | Deutschland | Niedersachsen       | Osnabrück                     | Osnabrück                  |     8.048 |   52.272 | f2106ece-3ad9-4700-b54d-942eba4d5ba2
 01391892-7ed1-4922-9c58-1b02e67179c1 | Deutschland | Nordrhein-Westfalen | Kreis Steinfurt               | Hörstel                    |     7.595 |   52.289 | 39ab5fa4-4b4b-4dd3-83d8-b8a264894837
 b749c332-5779-4c86-b5ff-8e6b5865bc63 | Deutschland | Nordrhein-Westfalen | Kreis Lippe                   |                            |     8.917 |   51.992 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 ed111543-e265-42e1-85c3-395644d2538f | Deutschland | Nordrhein-Westfalen | Kreis Lippe                   | Detmold                    |     8.875 |   51.928 | b749c332-5779-4c86-b5ff-8e6b5865bc63
 626f8b2c-d450-4e2d-9120-554777f14ee6 | Deutschland | Nordrhein-Westfalen | Münster                       |                            |     7.625 |   51.962 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 44b1906c-731f-4b32-b3bb-7bd6313b02d4 | Deutschland | Niedersachsen       | Landkreis Leer                | Westoverledingen           |     7.467 |   53.150 | 99342aef-ee4f-4cfc-a01a-e6d2e9b4e4a9
 c1957659-6eb6-4abe-93e3-757ec92c3100 | Deutschland | Nordrhein-Westfalen | Münster                       | Münster                    |     7.625 |   51.962 | 626f8b2c-d450-4e2d-9120-554777f14ee6
 3c8b5163-688c-4788-a548-1abf40255624 | Deutschland | Niedersachsen       | Oldenburg                     |                            |     8.215 |   53.139 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 ce3eaa40-ee1a-479c-8d86-9a5b4f255c96 | Deutschland | Niedersachsen       | Oldenburg                     | Oldenburg                  |     8.215 |   53.139 | 3c8b5163-688c-4788-a548-1abf40255624
 ef278798-7ac5-4cc0-a664-e0cf25c26b62 | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Everswinkel                |     7.847 |   51.924 | b91b5153-cbe5-4db5-bea1-8304731120e1
 271f9c14-7fa6-469f-af19-c2aebd9049cd | Deutschland | Nordrhein-Westfalen | Kreis Coesfeld                | Olfen                      |     7.379 |   51.708 | 3b43203d-bba0-499f-8bb9-039f4a8b0fa6
 b5bf1811-613a-4f67-879f-90d4ee44bfac | Deutschland | Niedersachsen       | Landkreis Emsland             | Meppen                     |     7.250 |   52.698 | fef69f68-470a-4c20-996c-2360ee1399ec
 0af109da-07b8-4471-8aea-2d08b8d07339 | Deutschland | Nordrhein-Westfalen | Kreis Unna                    |                            |     7.689 |   51.577 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 ce4858d8-cad6-4fce-a1b3-3112eb3a3c3c | Deutschland | Nordrhein-Westfalen | Kreis Unna                    | Werne                      |     7.636 |   51.663 | 0af109da-07b8-4471-8aea-2d08b8d07339
 3282ddcc-255d-4b0c-ae3c-e558f553df5e | Nederland   |                     |                               |                            |     5.387 |   52.155 | 
 36353b68-3aff-4197-9dee-0c5d8ce3c06c | Nederland   | Drenthe             |                               |                            |     6.637 |   52.907 | 3282ddcc-255d-4b0c-ae3c-e558f553df5e
 ee9a250b-901d-41ea-94b6-26ffbc18ff26 | Nederland   | Drenthe             | Emmen                         |                            |     6.953 |   52.753 | 36353b68-3aff-4197-9dee-0c5d8ce3c06c
 e044ee39-8d28-4e05-80ae-e68cdd9fb08d | Nederland   | Drenthe             | Emmen                         | Zwartemeer                 |     7.043 |   52.722 | ee9a250b-901d-41ea-94b6-26ffbc18ff26
 ccc033e6-2c44-4ac4-8a68-9f92e5737485 | Deutschland | Niedersachsen       | Landkreis Diepholz            | Wagenfeld                  |     8.588 |   52.548 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 9417e551-73ca-4202-aa21-96f913b47988 | Deutschland | Nordrhein-Westfalen | Kreis Lippe                   | Lemgo                      |     8.901 |   52.028 | b749c332-5779-4c86-b5ff-8e6b5865bc63
 6744d8a3-b012-46ab-afc4-9d36731fb942 | Deutschland | Nordrhein-Westfalen | Kreis Steinfurt               | Neuenkirchen               |     7.368 |   52.237 | 39ab5fa4-4b4b-4dd3-83d8-b8a264894837
 a72919f4-9428-4b88-ba95-262e50618cdf | Deutschland | Niedersachsen       | Landkreis Cloppenburg         | Barßel                     |     7.743 |   53.170 | 6660f9f8-9d22-4ba7-84a0-fb3005912fdf
 e317c327-4341-45d1-a860-7b3645835301 | Deutschland | Niedersachsen       | Landkreis Emsland             | Herzlake                   |     7.626 |   52.687 | fef69f68-470a-4c20-996c-2360ee1399ec
 ea2c8f2b-f9e3-4ecc-a4e4-6f4b355be80f | Deutschland | Niedersachsen       | Landkreis Leer                | Leer                       |     7.458 |   53.233 | 99342aef-ee4f-4cfc-a01a-e6d2e9b4e4a9
 a8599582-b493-4294-91df-c32cb404e08b | Deutschland | Nordrhein-Westfalen | Kreis Minden-Lübbecke         |                            |     8.753 |   52.347 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 954541eb-30c5-4fb6-b80c-bd950e8ee526 | Deutschland | Nordrhein-Westfalen | Kreis Minden-Lübbecke         | Lübbecke                   |     8.636 |   52.305 | a8599582-b493-4294-91df-c32cb404e08b
 95789d82-7b4c-416d-991a-a208d66b3b6f | Deutschland | Niedersachsen       | Landkreis Emsland             | Dörpen                     |     7.331 |   52.965 | fef69f68-470a-4c20-996c-2360ee1399ec
 6b701c30-4697-442b-9c01-b885c535b299 | Deutschland | Nordrhein-Westfalen | Kreis Steinfurt               | Altenberge                 |     7.467 |   52.047 | 39ab5fa4-4b4b-4dd3-83d8-b8a264894837
 bb02f686-8120-416b-b2c5-a615eb0b8e34 | Deutschland | Nordrhein-Westfalen | Kreis Borken                  | Schöppingen                |     7.237 |   52.093 | 158d1204-14b1-47be-b1c6-a6cddd8d8b58
 9a7e7c4e-d988-4a20-93b8-ada3422d04ea | Deutschland | Nordrhein-Westfalen | Kreis Gütersloh               | Rietberg                   |     8.412 |   51.797 | cfe5f05f-aaa4-47b9-9914-bd44a8fba5f8
 c716ea6c-5952-41bf-ac75-9e9b1fc9e5bf | Deutschland | Niedersachsen       | Landkreis Emsland             | Langen                     |     7.459 |   52.542 | fef69f68-470a-4c20-996c-2360ee1399ec
 cc6964de-61c4-4264-a19f-e83e48fec36b | Deutschland | Nordrhein-Westfalen | Kreis Gütersloh               | Rheda-Wiedenbrück          |     8.299 |   51.843 | cfe5f05f-aaa4-47b9-9914-bd44a8fba5f8
 4aa5fbf8-4403-440d-8c47-9cd7c2702ebb | Deutschland | Niedersachsen       | Landkreis Wesermarsch         | Elsfleth                   |     8.457 |   53.236 | 2b364fcf-fb12-4243-9d6a-833741a47eee
 d70714c4-bc8e-4756-ba13-c1bf0a35fc36 | Deutschland | Niedersachsen       | Landkreis Oldenburg           | Hatten                     |     8.335 |   53.050 | 3453dce8-d1a8-4057-bd6d-db872889eebf
 2425ebb0-fd45-4483-966b-b64354eab190 | Deutschland | Niedersachsen       | Landkreis Emsland             | Lingen (Ems)               |     7.366 |   52.510 | fef69f68-470a-4c20-996c-2360ee1399ec
 5379b8a5-8b0c-49d5-b2a7-91408cc8bff8 | Deutschland | Niedersachsen       | Landkreis Vechta              | Goldenstedt                |     8.431 |   52.787 | 2e6b01b4-a761-4e0e-8161-e1e3bab737ee
 9d3b2f1d-b446-4359-929c-e49b83d81e96 | Deutschland | Nordrhein-Westfalen | Kreis Minden-Lübbecke         | Minden                     |     8.917 |   52.288 | a8599582-b493-4294-91df-c32cb404e08b
 0f6b4cdc-3521-4062-a260-9750ae83349a | Deutschland | Nordrhein-Westfalen | Kreis Warendorf               | Ennigerloh                 |     8.026 |   51.836 | b91b5153-cbe5-4db5-bea1-8304731120e1
 77cb7342-f3ad-4172-9225-fd03a5b26322 | Deutschland | Nordrhein-Westfalen | Hochsauerlandkreis            | Olsberg                    |     8.489 |   51.355 | 0a7d51be-b82e-42c2-987e-4f30dc2a7575
 41209728-d9fa-462d-9875-fc0b6680fac0 | Deutschland | Nordrhein-Westfalen | Kreis Herford                 |                            |     8.645 |   52.168 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 4035435a-a576-4927-8cc8-f2f5aa48149b | Deutschland | Nordrhein-Westfalen | Kreis Herford                 | Spenge                     |     8.483 |   52.142 | 41209728-d9fa-462d-9875-fc0b6680fac0
 3716c089-13d6-44e9-95f4-72ea49c71a9a | Deutschland | Nordrhein-Westfalen | Kreis Herford                 | Rödinghausen               |     8.498 |   52.231 | 41209728-d9fa-462d-9875-fc0b6680fac0
 7c29c440-1104-49e6-8642-8991c0d2f186 | Deutschland | Niedersachsen       | Landkreis Vechta              | Dinklage                   |     8.107 |   52.651 | 2e6b01b4-a761-4e0e-8161-e1e3bab737ee
(133 rows)

                  id                  |          title          | longitude | latitude  | likeCount |             location_id              
--------------------------------------+-------------------------+-----------+-----------+-----------+--------------------------------------
